MetinID,Ort_Kelime_Boyu,Ort_Cumle_Boyu,Noktalama_Orani,Zenginlik_Endeksi,Tekrarlayan_Kelime_Orani,Zarf_Orani,Sifat_Orani,Pasif_Cumle_Orani,Baglac_Orani,Yazar_Sinifi
TXT_0033,5.55,27.8,0.136,0.84,0.169,0.06,0.129,0.058,0.045,Ahmet_Hamdi
TXT_0034,6.05,25.03,0.173,0.74,0.187,0.101,0.168,0.069,0.074,Ahmet_Hamdi
TXT_0035,5.31,17.92,0.119,0.66,0.179,0.113,0.087,0.074,0.051,Halide_Edip
TXT_0036,4.83,14.11,0.123,0.69,0.175,0.064,0.097,0.096,0.078,Halide_Edip
TXT_0037,5.63,21.09,0.153,0.74,0.133,0.071,0.11,0.046,0.145,Ahmet_Hamdi
TXT_0038,5.45,21.66,0.094,0.67,0.132,0.069,0.146,0.022,0.091,Halide_Edip
TXT_0039,4.95,21.44,0.135,0.7,0.12,0.097,0.123,0.045,0.061,Halide_Edip
TXT_0040,5.29,20.22,0.153,0.71,0.173,0.11,0.109,0.068,0.14,Peyami_Safa
TXT_0041,5.72,20.09,0.126,0.71,0.187,0.066,0.141,0.04,0.046,Peyami_Safa
TXT_0042,6.1,19.61,0.162,0.73,0.224,0.098,0.105,0.068,0.067,Ahmet_Hamdi
TXT_0043,5.08,19.38,0.135,0.64,0.129,0.069,0.102,0.08,0.078,Halide_Edip
TXT_0044,5.76,20.22,0.117,0.74,0.202,0.078,0.156,0.031,0.063,Peyami_Safa
TXT_0045,5.25,24.73,0.14,0.7,0.209,0.06,0.115,0.071,0.102,Peyami_Safa
TXT_0046,6.27,19.58,0.129,0.76,0.218,0.1,0.086,0.08,0.125,Ahmet_Hamdi
TXT_0047,5.8,21.78,0.157,0.76,0.116,0.117,0.095,0.049,0.104,Ahmet_Hamdi
TXT_0048,6.45,27.53,0.139,0.73,0.183,0.054,0.144,0.036,0.094,Ahmet_Hamdi
TXT_0049,5.51,23.95,0.114,0.67,0.149,0.065,0.13,0.087,0.055,Peyami_Safa
TXT_0050,5.51,20.66,0.159,0.72,0.244,0.066,0.105,0.074,0.127,Ahmet_Hamdi
TXT_0051,5.66,14.29,0.118,0.73,0.145,0.054,0.083,0.093,0.061,Halide_Edip
TXT_0052,5.22,19.76,0.121,0.61,0.243,0.06,0.162,0.023,0.1,Halide_Edip
TXT_0053,5.33,17.89,0.095,0.64,0.211,0.111,0.117,0.03,0.14,Halide_Edip
TXT_0054,5.64,21.61,0.121,0.71,0.103,0.078,0.132,0.097,0.089,Ahmet_Hamdi
TXT_0055,5.89,25.36,0.156,0.84,0.249,0.117,0.176,0.091,0.053,Ahmet_Hamdi
TXT_0056,6.17,20.31,0.132,0.66,0.109,0.106,0.106,0.073,0.046,Peyami_Safa
TXT_0057,6.24,22.59,0.139,0.8,0.106,0.091,0.146,0.047,0.078,Ahmet_Hamdi
TXT_0058,5.36,20.31,0.148,0.67,0.145,0.083,0.141,0.087,0.103,Peyami_Safa
TXT_0059,5.15,14.83,0.094,0.62,0.234,0.099,0.146,0.066,0.048,Halide_Edip
TXT_0060,5.78,19.6,0.131,0.64,0.187,0.097,0.177,0.078,0.134,Halide_Edip
TXT_0061,4.99,17.44,0.13,0.72,0.119,0.105,0.083,0.035,0.1,Halide_Edip
TXT_0062,5.78,26.25,0.177,0.81,0.209,0.092,0.132,0.033,0.132,Ahmet_Hamdi
TXT_0063,5.79,17.59,0.115,0.66,0.14,0.103,0.111,0.094,0.111,Halide_Edip
TXT_0064,4.85,15.46,0.13,0.67,0.192,0.065,0.142,0.032,0.103,Halide_Edip
TXT_0065,5.91,21.49,0.17,0.71,0.198,0.063,0.114,0.029,0.15,Ahmet_Hamdi
TXT_0066,5.62,19.87,0.164,0.73,0.245,0.091,0.142,0.095,0.125,Ahmet_Hamdi
TXT_0067,5.17,21.92,0.098,0.62,0.118,0.08,0.175,0.032,0.049,Halide_Edip
TXT_0068,5.27,20.03,0.142,0.75,0.194,0.075,0.144,0.059,0.044,Peyami_Safa
TXT_0069,5.95,20.1,0.148,0.81,0.148,0.074,0.175,0.073,0.09,Ahmet_Hamdi
TXT_0070,5.57,17.42,0.137,0.7,0.133,0.055,0.16,0.074,0.07,Halide_Edip
TXT_0071,5.64,26.59,0.146,0.82,0.231,0.079,0.116,0.039,0.105,Ahmet_Hamdi
TXT_0072,6.26,21.64,0.146,0.8,0.175,0.066,0.142,0.056,0.127,Ahmet_Hamdi
TXT_0073,5.84,21.55,0.152,0.84,0.104,0.081,0.154,0.096,0.04,Ahmet_Hamdi
TXT_0074,5.81,25.2,0.177,0.79,0.149,0.071,0.087,0.04,0.122,Ahmet_Hamdi
TXT_0075,5.47,16.09,0.134,0.66,0.15,0.081,0.094,0.036,0.134,Peyami_Safa
TXT_0076,5.99,22.31,0.143,0.75,0.191,0.054,0.082,0.057,0.066,Peyami_Safa
TXT_0077,5.43,23.22,0.121,0.68,0.131,0.079,0.11,0.038,0.119,Peyami_Safa
TXT_0078,5.61,18.34,0.166,0.81,0.171,0.102,0.112,0.044,0.048,Ahmet_Hamdi
TXT_0079,5.6,16.64,0.106,0.61,0.221,0.068,0.134,0.095,0.138,Halide_Edip
TXT_0080,5.88,23.57,0.136,0.76,0.218,0.112,0.159,0.045,0.103,Ahmet_Hamdi
TXT_0081,5.89,19.2,0.127,0.67,0.243,0.084,0.081,0.094,0.141,Peyami_Safa
TXT_0082,5.5,20.3,0.136,0.76,0.241,0.095,0.131,0.05,0.129,Peyami_Safa
TXT_0083,5.55,14.61,0.134,0.7,0.193,0.119,0.146,0.091,0.047,Halide_Edip
TXT_0084,6.12,23.57,0.154,0.81,0.236,0.119,0.124,0.024,0.118,Ahmet_Hamdi
TXT_0085,5.6,14.63,0.12,0.71,0.127,0.081,0.095,0.034,0.082,Halide_Edip
TXT_0086,5.73,19.56,0.131,0.76,0.148,0.097,0.152,0.069,0.095,Ahmet_Hamdi
TXT_0087,6.27,25.5,0.12,0.85,0.126,0.069,0.172,0.042,0.115,Ahmet_Hamdi
TXT_0088,5.21,19.48,0.113,0.66,0.153,0.105,0.122,0.062,0.133,Halide_Edip
TXT_0089,5.04,21.85,0.139,0.68,0.17,0.104,0.155,0.028,0.127,Halide_Edip
TXT_0090,5.89,18.83,0.147,0.81,0.158,0.098,0.167,0.086,0.061,Ahmet_Hamdi
TXT_0091,4.97,15.49,0.125,0.67,0.213,0.059,0.17,0.052,0.07,Halide_Edip
TXT_0092,5.55,23.53,0.156,0.68,0.171,0.086,0.174,0.057,0.086,Peyami_Safa
TXT_0093,5.65,22.64,0.146,0.72,0.136,0.094,0.133,0.05,0.047,Peyami_Safa
TXT_0094,5.22,19.03,0.143,0.76,0.17,0.08,0.14,0.036,0.107,Peyami_Safa
TXT_0095,6.27,27.36,0.168,0.73,0.116,0.109,0.119,0.047,0.116,Ahmet_Hamdi
TXT_0096,5.71,18.43,0.141,0.69,0.239,0.117,0.122,0.091,0.092,Peyami_Safa
TXT_0097,5.57,18.71,0.159,0.78,0.214,0.072,0.104,0.084,0.122,Peyami_Safa
TXT_0098,5.72,20.15,0.099,0.7,0.2,0.071,0.109,0.042,0.139,Halide_Edip
TXT_0099,5.24,14.39,0.133,0.69,0.189,0.062,0.126,0.053,0.143,Halide_Edip
TXT_0100,5.96,27.26,0.14,0.7,0.138,0.056,0.115,0.092,0.071,Ahmet_Hamdi
TXT_0101,5.4,21.18,0.132,0.75,0.217,0.1,0.123,0.04,0.112,Halide_Edip
TXT_0102,6.07,20.43,0.124,0.78,0.101,0.068,0.176,0.095,0.042,Ahmet_Hamdi
TXT_0103,5.76,23.75,0.134,0.79,0.185,0.059,0.14,0.061,0.13,Ahmet_Hamdi
TXT_0104,5.59,16.48,0.133,0.74,0.13,0.092,0.167,0.094,0.128,Halide_Edip
TXT_0105,5.56,21.08,0.093,0.7,0.194,0.062,0.089,0.084,0.054,Halide_Edip
TXT_0106,5.74,25.48,0.121,0.72,0.196,0.071,0.149,0.059,0.141,Ahmet_Hamdi
TXT_0107,5.45,18.51,0.125,0.7,0.235,0.053,0.121,0.03,0.121,Peyami_Safa
TXT_0108,5.73,19.93,0.145,0.72,0.114,0.069,0.145,0.035,0.115,Ahmet_Hamdi
TXT_0109,5.19,21.04,0.132,0.71,0.118,0.094,0.11,0.025,0.065,Halide_Edip
TXT_0110,6.0,17.24,0.149,0.73,0.157,0.07,0.103,0.089,0.058,Peyami_Safa
TXT_0111,4.91,21.23,0.116,0.64,0.101,0.107,0.142,0.081,0.103,Halide_Edip
TXT_0112,5.64,18.35,0.12,0.74,0.189,0.052,0.111,0.026,0.075,Halide_Edip
TXT_0113,5.67,17.16,0.123,0.8,0.137,0.074,0.164,0.099,0.14,Peyami_Safa
TXT_0114,5.13,20.14,0.095,0.61,0.204,0.092,0.097,0.086,0.051,Halide_Edip
TXT_0115,5.94,27.13,0.169,0.83,0.105,0.06,0.169,0.085,0.061,Ahmet_Hamdi
TXT_0116,5.77,21.25,0.125,0.72,0.103,0.058,0.132,0.093,0.088,Halide_Edip
TXT_0117,6.43,27.58,0.15,0.76,0.245,0.063,0.085,0.025,0.12,Ahmet_Hamdi
TXT_0118,5.64,20.29,0.133,0.79,0.168,0.09,0.086,0.045,0.069,Peyami_Safa
TXT_0119,6.43,27.26,0.144,0.73,0.191,0.084,0.094,0.071,0.088,Ahmet_Hamdi
TXT_0120,4.98,16.56,0.131,0.72,0.11,0.092,0.089,0.034,0.064,Halide_Edip
TXT_0121,6.03,22.94,0.131,0.68,0.182,0.072,0.089,0.052,0.048,Peyami_Safa
TXT_0122,6.11,24.2,0.11,0.73,0.135,0.1,0.099,0.06,0.14,Peyami_Safa
TXT_0123,5.5,16.03,0.134,0.76,0.139,0.111,0.156,0.073,0.117,Peyami_Safa
TXT_0124,5.86,17.55,0.131,0.68,0.225,0.108,0.152,0.052,0.066,Peyami_Safa
TXT_0125,5.51,26.5,0.123,0.85,0.219,0.069,0.086,0.077,0.137,Ahmet_Hamdi
TXT_0126,5.74,24.41,0.154,0.76,0.234,0.067,0.112,0.045,0.131,Peyami_Safa
TXT_0127,5.87,22.82,0.137,0.68,0.207,0.068,0.145,0.093,0.129,Peyami_Safa
TXT_0128,6.15,27.63,0.135,0.71,0.214,0.099,0.168,0.088,0.124,Ahmet_Hamdi
TXT_0129,5.26,23.39,0.151,0.74,0.236,0.082,0.157,0.065,0.118,Peyami_Safa
TXT_0130,5.69,19.99,0.115,0.72,0.181,0.105,0.178,0.077,0.097,Peyami_Safa
TXT_0131,5.55,23.25,0.157,0.66,0.154,0.104,0.091,0.085,0.088,Peyami_Safa
TXT_0132,6.37,24.04,0.122,0.75,0.232,0.068,0.112,0.074,0.047,Ahmet_Hamdi
TXT_0133,5.37,17.5,0.1,0.72,0.131,0.089,0.172,0.024,0.106,Halide_Edip
TXT_0134,6.37,20.87,0.173,0.79,0.219,0.1,0.082,0.059,0.104,Ahmet_Hamdi
TXT_0135,6.15,19.89,0.154,0.67,0.138,0.09,0.153,0.071,0.061,Peyami_Safa
TXT_0136,6.35,23.87,0.159,0.84,0.195,0.056,0.147,0.035,0.064,Ahmet_Hamdi
TXT_0137,5.73,24.61,0.15,0.79,0.135,0.109,0.177,0.077,0.083,Peyami_Safa
TXT_0138,5.73,18.88,0.15,0.68,0.215,0.112,0.148,0.039,0.06,Peyami_Safa
TXT_0139,5.49,15.51,0.113,0.72,0.107,0.072,0.121,0.067,0.06,Halide_Edip
TXT_0140,5.45,17.91,0.128,0.76,0.14,0.05,0.098,0.052,0.096,Peyami_Safa
TXT_0141,6.01,19.15,0.143,0.66,0.22,0.083,0.169,0.047,0.06,Peyami_Safa
TXT_0142,5.78,21.44,0.133,0.74,0.123,0.073,0.132,0.061,0.042,Ahmet_Hamdi
TXT_0143,5.87,24.58,0.113,0.76,0.119,0.103,0.144,0.056,0.134,Peyami_Safa
TXT_0144,6.35,20.95,0.155,0.81,0.193,0.117,0.138,0.065,0.108,Ahmet_Hamdi
TXT_0145,5.73,19.35,0.147,0.76,0.233,0.111,0.147,0.082,0.09,Peyami_Safa
TXT_0146,5.78,20.04,0.167,0.72,0.166,0.093,0.142,0.027,0.051,Ahmet_Hamdi
TXT_0147,6.47,19.79,0.176,0.78,0.112,0.108,0.13,0.094,0.119,Ahmet_Hamdi
TXT_0148,6.02,16.01,0.122,0.7,0.11,0.052,0.148,0.084,0.144,Peyami_Safa
TXT_0149,5.38,19.51,0.14,0.71,0.223,0.107,0.112,0.047,0.042,Peyami_Safa
TXT_0150,6.26,23.76,0.139,0.77,0.161,0.101,0.083,0.037,0.109,Ahmet_Hamdi
TXT_0151,5.32,18.45,0.104,0.63,0.11,0.102,0.141,0.081,0.086,Halide_Edip
TXT_0152,5.33,20.63,0.123,0.7,0.173,0.076,0.104,0.039,0.122,Halide_Edip
TXT_0153,5.19,16.08,0.121,0.73,0.185,0.099,0.162,0.074,0.116,Halide_Edip
TXT_0154,5.46,16.06,0.116,0.63,0.248,0.115,0.08,0.033,0.106,Halide_Edip
TXT_0155,5.71,16.41,0.112,0.67,0.222,0.089,0.104,0.082,0.113,Halide_Edip
TXT_0156,5.17,16.76,0.123,0.65,0.165,0.116,0.165,0.062,0.149,Halide_Edip
TXT_0157,5.06,15.57,0.111,0.61,0.165,0.091,0.085,0.059,0.087,Halide_Edip
TXT_0158,5.44,19.38,0.132,0.73,0.25,0.108,0.178,0.057,0.103,Halide_Edip
TXT_0159,5.94,20.25,0.175,0.72,0.18,0.064,0.121,0.093,0.127,Ahmet_Hamdi
TXT_0160,5.1,21.14,0.123,0.6,0.203,0.078,0.143,0.074,0.089,Halide_Edip
TXT_0161,6.35,27.35,0.147,0.79,0.245,0.066,0.089,0.061,0.064,Ahmet_Hamdi
TXT_0162,6.41,25.29,0.176,0.79,0.171,0.104,0.091,0.035,0.08,Ahmet_Hamdi
TXT_0163,5.95,19.62,0.131,0.7,0.208,0.109,0.094,0.093,0.138,Peyami_Safa
TXT_0164,5.13,14.66,0.099,0.65,0.108,0.108,0.164,0.048,0.101,Halide_Edip
TXT_0165,6.06,27.79,0.175,0.84,0.15,0.052,0.085,0.086,0.059,Ahmet_Hamdi
TXT_0166,5.11,16.89,0.122,0.66,0.107,0.106,0.104,0.058,0.103,Halide_Edip
TXT_0167,5.3,20.35,0.139,0.74,0.173,0.067,0.172,0.051,0.104,Peyami_Safa
TXT_0168,5.73,24.78,0.141,0.72,0.207,0.106,0.166,0.069,0.149,Peyami_Safa
TXT_0169,5.93,21.54,0.15,0.77,0.246,0.112,0.115,0.076,0.042,Peyami_Safa
TXT_0170,5.8,16.21,0.14,0.7,0.225,0.105,0.101,0.046,0.121,Peyami_Safa
TXT_0171,5.08,19.1,0.131,0.73,0.229,0.069,0.087,0.08,0.1,Halide_Edip
TXT_0172,4.92,19.53,0.103,0.69,0.167,0.113,0.092,0.024,0.085,Halide_Edip
TXT_0173,5.37,21.36,0.104,0.72,0.192,0.054,0.126,0.082,0.102,Halide_Edip
TXT_0174,6.05,18.86,0.156,0.71,0.153,0.067,0.111,0.097,0.072,Ahmet_Hamdi
TXT_0175,6.14,17.29,0.13,0.78,0.108,0.111,0.085,0.052,0.149,Peyami_Safa
TXT_0176,5.68,27.01,0.133,0.81,0.137,0.114,0.109,0.085,0.148,Ahmet_Hamdi
TXT_0177,5.88,24.42,0.122,0.66,0.132,0.078,0.169,0.067,0.111,Peyami_Safa
TXT_0178,6.11,16.72,0.128,0.69,0.144,0.068,0.104,0.054,0.139,Peyami_Safa
TXT_0179,5.8,17.75,0.134,0.7,0.2,0.055,0.084,0.043,0.076,Peyami_Safa
TXT_0180,6.32,21.45,0.15,0.71,0.172,0.11,0.12,0.069,0.041,Ahmet_Hamdi
TXT_0181,6.38,26.4,0.168,0.7,0.137,0.073,0.121,0.08,0.142,Ahmet_Hamdi
TXT_0182,6.15,20.77,0.13,0.77,0.201,0.097,0.104,0.089,0.054,Ahmet_Hamdi
TXT_0183,6.31,20.7,0.155,0.73,0.109,0.114,0.109,0.048,0.106,Ahmet_Hamdi
TXT_0184,5.3,22.81,0.119,0.67,0.216,0.068,0.145,0.088,0.1,Peyami_Safa
TXT_0185,5.85,17.44,0.134,0.74,0.22,0.1,0.089,0.047,0.07,Peyami_Safa
TXT_0186,5.61,20.74,0.092,0.63,0.211,0.092,0.118,0.064,0.072,Halide_Edip
TXT_0187,5.81,21.9,0.128,0.73,0.12,0.086,0.163,0.061,0.043,Peyami_Safa
TXT_0188,6.12,20.4,0.179,0.83,0.243,0.088,0.134,0.027,0.05,Ahmet_Hamdi
TXT_0189,4.89,16.69,0.103,0.74,0.134,0.089,0.112,0.063,0.146,Halide_Edip
TXT_0190,6.3,25.28,0.124,0.75,0.203,0.092,0.109,0.034,0.125,Ahmet_Hamdi
TXT_0191,5.89,27.87,0.177,0.81,0.25,0.092,0.119,0.042,0.095,Ahmet_Hamdi
TXT_0192,6.4,22.47,0.165,0.79,0.216,0.073,0.133,0.086,0.107,Ahmet_Hamdi
TXT_0193,5.58,15.75,0.105,0.65,0.209,0.119,0.154,0.061,0.14,Halide_Edip
TXT_0194,6.4,22.87,0.161,0.74,0.12,0.092,0.086,0.088,0.12,Ahmet_Hamdi
TXT_0195,5.56,24.63,0.131,0.72,0.217,0.109,0.171,0.054,0.109,Peyami_Safa
TXT_0196,6.14,18.89,0.12,0.8,0.239,0.07,0.18,0.095,0.095,Peyami_Safa
TXT_0197,6.01,19.38,0.137,0.75,0.114,0.053,0.131,0.07,0.109,Peyami_Safa
TXT_0198,5.67,14.59,0.121,0.62,0.174,0.053,0.111,0.035,0.103,Halide_Edip
TXT_0199,5.62,17.64,0.134,0.71,0.168,0.12,0.17,0.087,0.138,Halide_Edip
TXT_0200,5.63,15.17,0.135,0.71,0.219,0.07,0.096,0.02,0.068,Halide_Edip
TXT_0201,5.48,16.8,0.148,0.76,0.144,0.084,0.107,0.095,0.079,Peyami_Safa
TXT_0202,5.59,19.2,0.106,0.61,0.172,0.114,0.158,0.04,0.072,Halide_Edip
TXT_0203,5.4,16.82,0.139,0.67,0.106,0.074,0.146,0.064,0.106,Halide_Edip
TXT_0204,5.55,18.81,0.14,0.81,0.121,0.057,0.115,0.048,0.054,Ahmet_Hamdi
TXT_0205,5.4,17.73,0.131,0.74,0.228,0.091,0.092,0.037,0.048,Halide_Edip
TXT_0206,5.6,17.33,0.095,0.75,0.162,0.072,0.089,0.051,0.055,Halide_Edip
TXT_0207,4.89,16.55,0.092,0.63,0.134,0.063,0.088,0.026,0.043,Halide_Edip
TXT_0208,6.19,27.64,0.132,0.76,0.103,0.064,0.148,0.035,0.069,Ahmet_Hamdi
TXT_0209,5.38,14.49,0.11,0.63,0.145,0.069,0.106,0.046,0.13,Halide_Edip
TXT_0210,5.81,19.92,0.137,0.65,0.165,0.068,0.117,0.041,0.144,Peyami_Safa
TXT_0211,5.23,22.05,0.144,0.71,0.184,0.073,0.144,0.025,0.075,Peyami_Safa
TXT_0212,6.02,22.84,0.172,0.71,0.168,0.058,0.113,0.054,0.062,Ahmet_Hamdi
TXT_0213,6.42,20.93,0.14,0.8,0.124,0.097,0.095,0.084,0.088,Ahmet_Hamdi
TXT_0214,5.84,23.46,0.132,0.76,0.222,0.112,0.137,0.069,0.132,Peyami_Safa
TXT_0215,5.71,21.19,0.146,0.84,0.232,0.065,0.142,0.03,0.115,Ahmet_Hamdi
TXT_0216,5.76,27.6,0.145,0.76,0.125,0.056,0.082,0.066,0.149,Ahmet_Hamdi
TXT_0217,6.15,18.72,0.114,0.65,0.171,0.081,0.102,0.082,0.104,Peyami_Safa
TXT_0218,6.47,21.35,0.139,0.74,0.148,0.116,0.144,0.038,0.081,Ahmet_Hamdi
TXT_0219,5.43,19.37,0.113,0.76,0.144,0.086,0.179,0.077,0.08,Peyami_Safa
TXT_0220,6.03,24.6,0.128,0.77,0.126,0.09,0.175,0.074,0.048,Ahmet_Hamdi
TXT_0221,5.89,22.09,0.128,0.79,0.106,0.055,0.151,0.098,0.146,Ahmet_Hamdi
TXT_0222,5.28,19.09,0.143,0.75,0.128,0.096,0.175,0.067,0.1,Peyami_Safa
TXT_0223,5.73,23.65,0.155,0.8,0.136,0.065,0.174,0.073,0.061,Ahmet_Hamdi
TXT_0224,5.43,20.8,0.12,0.74,0.229,0.069,0.131,0.084,0.096,Halide_Edip
TXT_0225,5.13,15.44,0.127,0.62,0.16,0.106,0.137,0.08,0.072,Halide_Edip
TXT_0226,5.24,21.68,0.096,0.67,0.155,0.103,0.122,0.056,0.107,Halide_Edip
TXT_0227,5.65,19.38,0.134,0.7,0.191,0.068,0.093,0.065,0.136,Peyami_Safa
TXT_0228,6.36,25.73,0.131,0.85,0.239,0.098,0.082,0.06,0.103,Ahmet_Hamdi
TXT_0229,5.64,19.86,0.169,0.79,0.14,0.052,0.13,0.038,0.11,Ahmet_Hamdi
TXT_0230,5.56,23.63,0.134,0.68,0.177,0.076,0.154,0.057,0.051,Peyami_Safa
TXT_0231,5.08,16.74,0.126,0.74,0.159,0.093,0.139,0.049,0.062,Halide_Edip
TXT_0232,5.31,19.47,0.147,0.79,0.183,0.065,0.141,0.075,0.063,Peyami_Safa
TXT_0233,5.56,16.74,0.149,0.68,0.116,0.096,0.087,0.022,0.059,Peyami_Safa
TXT_0234,5.11,16.35,0.1,0.7,0.176,0.054,0.111,0.097,0.119,Halide_Edip
TXT_0235,5.79,19.58,0.136,0.77,0.147,0.052,0.096,0.085,0.111,Ahmet_Hamdi
TXT_0236,5.01,18.06,0.127,0.69,0.206,0.083,0.178,0.042,0.145,Halide_Edip
TXT_0237,5.02,15.77,0.09,0.66,0.201,0.053,0.124,0.066,0.097,Halide_Edip
TXT_0238,5.18,16.1,0.092,0.62,0.19,0.063,0.13,0.077,0.126,Halide_Edip
TXT_0239,4.98,17.18,0.096,0.64,0.211,0.09,0.106,0.053,0.071,Halide_Edip
TXT_0240,5.33,17.69,0.139,0.61,0.206,0.062,0.155,0.026,0.14,Halide_Edip
TXT_0241,5.62,17.37,0.13,0.73,0.212,0.11,0.129,0.085,0.121,Peyami_Safa
TXT_0242,6.37,25.15,0.153,0.8,0.241,0.074,0.088,0.036,0.049,Ahmet_Hamdi
TXT_0243,4.86,21.67,0.136,0.66,0.212,0.117,0.098,0.076,0.114,Halide_Edip
TXT_0244,5.33,16.36,0.119,0.74,0.212,0.093,0.162,0.042,0.117,Peyami_Safa
TXT_0245,5.46,20.51,0.146,0.8,0.243,0.104,0.132,0.069,0.104,Peyami_Safa
TXT_0246,5.26,19.72,0.137,0.72,0.138,0.061,0.139,0.056,0.124,Halide_Edip
TXT_0247,5.17,19.08,0.101,0.75,0.158,0.099,0.113,0.08,0.131,Halide_Edip
TXT_0248,5.89,24.47,0.12,0.72,0.107,0.058,0.173,0.076,0.046,Peyami_Safa
TXT_0249,5.51,20.24,0.177,0.75,0.232,0.084,0.088,0.05,0.126,Ahmet_Hamdi
TXT_0250,5.28,22.32,0.145,0.76,0.201,0.065,0.173,0.06,0.09,Peyami_Safa
TXT_0251,6.18,16.85,0.119,0.71,0.167,0.07,0.119,0.046,0.109,Peyami_Safa
TXT_0252,5.67,21.87,0.126,0.7,0.132,0.091,0.136,0.04,0.079,Halide_Edip
TXT_0253,5.74,23.91,0.13,0.72,0.212,0.073,0.176,0.093,0.09,Peyami_Safa
TXT_0254,5.53,18.44,0.174,0.79,0.164,0.097,0.167,0.047,0.049,Ahmet_Hamdi
TXT_0255,5.37,15.74,0.136,0.72,0.195,0.11,0.086,0.04,0.082,Halide_Edip
TXT_0256,5.58,16.43,0.135,0.65,0.126,0.072,0.099,0.048,0.083,Halide_Edip
TXT_0257,6.22,22.39,0.156,0.73,0.2,0.054,0.134,0.079,0.051,Ahmet_Hamdi
TXT_0258,5.34,18.19,0.114,0.62,0.153,0.097,0.094,0.064,0.112,Halide_Edip
TXT_0259,5.3,24.02,0.131,0.76,0.248,0.075,0.103,0.083,0.061,Peyami_Safa
TXT_0260,5.35,22.75,0.122,0.78,0.123,0.056,0.094,0.074,0.042,Peyami_Safa
TXT_0261,5.73,15.78,0.122,0.7,0.186,0.093,0.175,0.078,0.109,Halide_Edip
