TextID,Avg_Word_Length,Avg_Sentence_Length,Punctuation_Ratio,Richness_Index,Repetitive_Word_Ratio,Adverb_Ratio,Adjective_Ratio,Passive_Sentence_Ratio,Conjunction_Ratio,Author_Class
TXT_0038,6.0,26.96,0.167,0.74,0.203,0.067,0.095,0.059,0.082,Ahmet_Hamdi
TXT_0039,5.9,19.44,0.174,0.81,0.187,0.117,0.173,0.051,0.133,Ahmet_Hamdi
TXT_0040,5.25,20.76,0.118,0.74,0.172,0.058,0.115,0.077,0.147,Halide_Edip
TXT_0041,5.76,25.48,0.17,0.81,0.117,0.055,0.131,0.082,0.094,Ahmet_Hamdi
TXT_0042,5.79,14.3,0.113,0.74,0.157,0.12,0.125,0.064,0.137,Halide_Edip
TXT_0043,5.36,21.19,0.136,0.77,0.24,0.091,0.114,0.057,0.146,Peyami_Safa
TXT_0044,4.9,14.81,0.122,0.68,0.161,0.102,0.135,0.025,0.082,Halide_Edip
TXT_0045,6.0,23.98,0.168,0.77,0.118,0.057,0.084,0.024,0.069,Ahmet_Hamdi
TXT_0046,5.01,18.88,0.103,0.67,0.241,0.073,0.176,0.028,0.094,Halide_Edip
TXT_0047,4.87,18.27,0.135,0.7,0.179,0.084,0.091,0.099,0.118,Halide_Edip
TXT_0048,6.09,24.74,0.123,0.73,0.154,0.119,0.123,0.058,0.077,Peyami_Safa
TXT_0049,5.67,20.62,0.134,0.64,0.204,0.086,0.165,0.035,0.061,Halide_Edip
TXT_0050,5.47,19.73,0.1,0.62,0.119,0.082,0.15,0.092,0.089,Halide_Edip
TXT_0051,5.59,23.52,0.146,0.83,0.235,0.094,0.152,0.099,0.075,Ahmet_Hamdi
TXT_0052,5.44,14.41,0.102,0.62,0.153,0.095,0.109,0.09,0.08,Halide_Edip
TXT_0053,6.13,21.81,0.146,0.7,0.213,0.073,0.093,0.05,0.147,Peyami_Safa
TXT_0054,5.19,16.72,0.093,0.69,0.206,0.07,0.13,0.063,0.076,Halide_Edip
TXT_0055,5.54,16.52,0.113,0.69,0.115,0.111,0.175,0.069,0.07,Halide_Edip
TXT_0056,5.6,20.2,0.139,0.66,0.136,0.115,0.08,0.094,0.103,Halide_Edip
TXT_0057,4.98,21.03,0.12,0.72,0.231,0.085,0.152,0.096,0.121,Halide_Edip
TXT_0058,5.53,21.47,0.171,0.73,0.12,0.101,0.143,0.054,0.123,Ahmet_Hamdi
TXT_0059,5.77,18.65,0.12,0.64,0.213,0.052,0.121,0.069,0.078,Halide_Edip
TXT_0060,5.5,23.54,0.146,0.79,0.224,0.079,0.169,0.09,0.075,Ahmet_Hamdi
TXT_0061,5.65,20.26,0.093,0.62,0.186,0.061,0.1,0.083,0.112,Halide_Edip
TXT_0062,5.04,21.26,0.14,0.66,0.126,0.103,0.162,0.025,0.058,Halide_Edip
TXT_0063,5.04,18.49,0.138,0.6,0.134,0.108,0.117,0.072,0.117,Halide_Edip
TXT_0064,5.71,21.59,0.175,0.83,0.189,0.066,0.115,0.038,0.133,Ahmet_Hamdi
TXT_0065,5.58,21.72,0.118,0.65,0.179,0.118,0.117,0.065,0.071,Peyami_Safa
TXT_0066,5.02,15.97,0.113,0.65,0.155,0.12,0.163,0.046,0.138,Halide_Edip
TXT_0067,5.34,21.13,0.151,0.76,0.159,0.096,0.149,0.095,0.107,Peyami_Safa
TXT_0068,5.44,22.25,0.125,0.76,0.18,0.12,0.166,0.04,0.075,Peyami_Safa
TXT_0069,5.77,20.85,0.165,0.78,0.161,0.106,0.142,0.041,0.097,Ahmet_Hamdi
TXT_0070,6.0,16.45,0.115,0.68,0.229,0.091,0.155,0.052,0.064,Peyami_Safa
TXT_0071,5.54,17.61,0.112,0.72,0.174,0.066,0.172,0.093,0.081,Peyami_Safa
TXT_0072,5.43,19.37,0.134,0.77,0.105,0.088,0.111,0.047,0.127,Peyami_Safa
TXT_0073,4.84,18.9,0.099,0.68,0.241,0.091,0.131,0.056,0.072,Halide_Edip
TXT_0074,5.47,18.1,0.155,0.66,0.104,0.109,0.093,0.069,0.051,Peyami_Safa
TXT_0075,6.09,26.95,0.132,0.71,0.168,0.056,0.09,0.098,0.051,Ahmet_Hamdi
TXT_0076,5.74,23.8,0.12,0.7,0.218,0.093,0.099,0.04,0.124,Peyami_Safa
TXT_0077,5.6,18.92,0.156,0.77,0.202,0.103,0.111,0.061,0.071,Peyami_Safa
TXT_0078,5.57,24.96,0.129,0.77,0.102,0.068,0.138,0.028,0.054,Ahmet_Hamdi
TXT_0079,5.48,16.73,0.107,0.72,0.198,0.078,0.134,0.032,0.139,Halide_Edip
TXT_0080,5.56,21.15,0.13,0.64,0.236,0.058,0.085,0.057,0.041,Halide_Edip
TXT_0081,6.0,20.18,0.144,0.74,0.109,0.083,0.178,0.069,0.116,Peyami_Safa
TXT_0082,6.08,21.97,0.121,0.72,0.215,0.056,0.156,0.069,0.121,Peyami_Safa
TXT_0083,6.21,20.83,0.18,0.76,0.141,0.076,0.132,0.093,0.114,Ahmet_Hamdi
TXT_0084,5.54,22.69,0.135,0.81,0.163,0.106,0.118,0.052,0.146,Ahmet_Hamdi
TXT_0085,5.63,24.24,0.147,0.69,0.106,0.051,0.125,0.084,0.091,Peyami_Safa
TXT_0086,5.59,21.5,0.123,0.79,0.171,0.094,0.083,0.021,0.115,Peyami_Safa
TXT_0087,5.26,19.62,0.119,0.64,0.101,0.096,0.15,0.072,0.114,Halide_Edip
TXT_0088,5.53,19.83,0.139,0.79,0.173,0.092,0.145,0.082,0.1,Ahmet_Hamdi
TXT_0089,5.46,20.27,0.155,0.68,0.114,0.061,0.133,0.082,0.139,Peyami_Safa
TXT_0090,5.55,21.11,0.12,0.67,0.222,0.105,0.16,0.062,0.106,Halide_Edip
TXT_0091,6.37,27.78,0.171,0.74,0.169,0.109,0.11,0.021,0.13,Ahmet_Hamdi
TXT_0092,6.14,21.31,0.164,0.78,0.116,0.102,0.081,0.081,0.05,Ahmet_Hamdi
TXT_0093,5.56,25.13,0.156,0.8,0.204,0.081,0.177,0.071,0.102,Ahmet_Hamdi
TXT_0094,4.83,17.91,0.103,0.64,0.128,0.08,0.105,0.068,0.093,Halide_Edip
TXT_0095,5.59,21.41,0.119,0.68,0.138,0.057,0.129,0.052,0.08,Peyami_Safa
TXT_0096,4.93,18.16,0.098,0.71,0.113,0.096,0.119,0.045,0.146,Halide_Edip
TXT_0097,5.49,22.43,0.133,0.7,0.155,0.058,0.136,0.085,0.148,Peyami_Safa
TXT_0098,5.86,23.65,0.127,0.72,0.207,0.059,0.09,0.027,0.12,Ahmet_Hamdi
TXT_0099,5.75,14.37,0.131,0.61,0.122,0.108,0.146,0.06,0.098,Halide_Edip
TXT_0100,5.52,24.73,0.157,0.77,0.113,0.105,0.089,0.037,0.143,Peyami_Safa
TXT_0101,5.5,16.72,0.111,0.68,0.131,0.104,0.099,0.096,0.049,Halide_Edip
TXT_0102,6.14,25.73,0.145,0.74,0.161,0.071,0.106,0.091,0.129,Ahmet_Hamdi
TXT_0103,5.48,14.21,0.134,0.67,0.223,0.084,0.115,0.081,0.051,Halide_Edip
TXT_0104,6.43,25.18,0.123,0.73,0.166,0.099,0.105,0.049,0.066,Ahmet_Hamdi
TXT_0105,4.88,21.07,0.123,0.71,0.153,0.062,0.177,0.034,0.091,Halide_Edip
TXT_0106,4.9,18.39,0.099,0.74,0.147,0.096,0.119,0.029,0.14,Halide_Edip
TXT_0107,5.63,19.55,0.179,0.77,0.112,0.093,0.175,0.041,0.132,Ahmet_Hamdi
TXT_0108,5.6,22.18,0.118,0.69,0.155,0.087,0.088,0.047,0.105,Peyami_Safa
TXT_0109,6.11,21.09,0.156,0.65,0.228,0.115,0.172,0.026,0.08,Peyami_Safa
TXT_0110,6.06,21.65,0.132,0.8,0.199,0.107,0.09,0.071,0.11,Ahmet_Hamdi
TXT_0111,5.63,21.3,0.132,0.65,0.106,0.113,0.134,0.061,0.147,Halide_Edip
TXT_0112,5.4,24.23,0.111,0.7,0.118,0.067,0.116,0.085,0.048,Peyami_Safa
TXT_0113,5.99,22.33,0.157,0.71,0.141,0.057,0.119,0.044,0.111,Peyami_Safa
TXT_0114,5.52,18.38,0.153,0.74,0.233,0.062,0.125,0.052,0.111,Ahmet_Hamdi
TXT_0115,5.89,19.47,0.125,0.74,0.129,0.056,0.135,0.047,0.133,Peyami_Safa
TXT_0116,5.93,18.19,0.16,0.74,0.236,0.093,0.128,0.038,0.112,Peyami_Safa
TXT_0117,6.1,24.22,0.178,0.72,0.108,0.078,0.161,0.078,0.093,Ahmet_Hamdi
TXT_0118,4.89,14.33,0.093,0.64,0.242,0.116,0.148,0.022,0.069,Halide_Edip
TXT_0119,5.46,21.22,0.137,0.75,0.239,0.063,0.18,0.061,0.099,Peyami_Safa
TXT_0120,5.71,17.61,0.147,0.73,0.215,0.075,0.138,0.063,0.128,Peyami_Safa
TXT_0121,5.7,25.35,0.123,0.72,0.196,0.051,0.157,0.046,0.102,Ahmet_Hamdi
TXT_0122,5.91,17.71,0.136,0.66,0.133,0.11,0.114,0.033,0.135,Peyami_Safa
TXT_0123,5.72,17.11,0.122,0.74,0.107,0.055,0.13,0.051,0.06,Peyami_Safa
TXT_0124,6.08,23.26,0.174,0.83,0.206,0.103,0.156,0.043,0.053,Ahmet_Hamdi
TXT_0125,5.67,24.63,0.143,0.67,0.203,0.093,0.112,0.07,0.137,Peyami_Safa
TXT_0126,5.19,15.24,0.1,0.61,0.101,0.057,0.131,0.074,0.041,Halide_Edip
TXT_0127,5.58,25.31,0.122,0.84,0.215,0.118,0.128,0.062,0.066,Ahmet_Hamdi
TXT_0128,5.93,22.31,0.175,0.79,0.216,0.088,0.16,0.066,0.143,Ahmet_Hamdi
TXT_0129,5.14,14.31,0.137,0.64,0.106,0.054,0.168,0.061,0.057,Halide_Edip
TXT_0130,5.68,24.71,0.13,0.66,0.117,0.098,0.174,0.036,0.091,Peyami_Safa
TXT_0131,5.37,14.17,0.094,0.65,0.207,0.087,0.083,0.058,0.09,Halide_Edip
TXT_0132,6.19,24.63,0.13,0.72,0.246,0.061,0.105,0.041,0.139,Ahmet_Hamdi
TXT_0133,5.35,16.16,0.13,0.74,0.108,0.068,0.098,0.048,0.139,Halide_Edip
TXT_0134,5.37,16.58,0.154,0.73,0.193,0.11,0.153,0.021,0.124,Peyami_Safa
TXT_0135,6.15,27.58,0.133,0.79,0.243,0.12,0.091,0.044,0.1,Ahmet_Hamdi
TXT_0136,4.86,16.18,0.121,0.69,0.202,0.073,0.105,0.033,0.096,Halide_Edip
TXT_0137,6.36,19.45,0.177,0.84,0.186,0.08,0.18,0.03,0.057,Ahmet_Hamdi
TXT_0138,6.09,19.29,0.148,0.81,0.147,0.101,0.171,0.096,0.145,Ahmet_Hamdi
TXT_0139,5.54,24.0,0.123,0.83,0.125,0.075,0.123,0.051,0.053,Ahmet_Hamdi
TXT_0140,5.3,20.25,0.126,0.71,0.242,0.115,0.174,0.034,0.117,Peyami_Safa
TXT_0141,5.24,18.31,0.1,0.66,0.194,0.084,0.156,0.076,0.052,Halide_Edip
TXT_0142,5.5,24.07,0.149,0.73,0.239,0.105,0.16,0.042,0.145,Peyami_Safa
TXT_0143,6.07,25.91,0.131,0.79,0.104,0.113,0.142,0.084,0.063,Ahmet_Hamdi
TXT_0144,5.58,14.66,0.132,0.73,0.202,0.082,0.124,0.025,0.079,Halide_Edip
TXT_0145,5.25,20.38,0.113,0.61,0.148,0.105,0.165,0.035,0.074,Halide_Edip
TXT_0146,5.42,23.76,0.128,0.7,0.188,0.099,0.139,0.085,0.062,Peyami_Safa
TXT_0147,6.01,22.72,0.121,0.8,0.196,0.112,0.166,0.064,0.082,Peyami_Safa
TXT_0148,5.71,16.06,0.137,0.68,0.124,0.054,0.141,0.042,0.101,Halide_Edip
TXT_0149,5.55,22.08,0.126,0.7,0.117,0.075,0.163,0.071,0.05,Ahmet_Hamdi
TXT_0150,6.1,26.17,0.165,0.8,0.225,0.067,0.14,0.07,0.069,Ahmet_Hamdi
TXT_0151,5.64,21.71,0.108,0.67,0.18,0.119,0.17,0.064,0.051,Halide_Edip
TXT_0152,5.84,16.92,0.155,0.72,0.207,0.103,0.163,0.07,0.075,Peyami_Safa
TXT_0153,5.27,18.36,0.123,0.71,0.11,0.078,0.15,0.023,0.141,Halide_Edip
TXT_0154,5.12,16.5,0.095,0.62,0.241,0.108,0.164,0.039,0.065,Halide_Edip
TXT_0155,5.92,18.44,0.114,0.74,0.112,0.109,0.13,0.097,0.094,Peyami_Safa
TXT_0156,5.58,24.83,0.124,0.71,0.14,0.067,0.093,0.027,0.148,Ahmet_Hamdi
TXT_0157,5.32,19.83,0.121,0.69,0.142,0.061,0.167,0.098,0.138,Halide_Edip
TXT_0158,5.53,18.14,0.139,0.77,0.127,0.098,0.165,0.099,0.041,Ahmet_Hamdi
TXT_0159,5.33,21.36,0.119,0.68,0.222,0.107,0.099,0.086,0.043,Peyami_Safa
TXT_0160,6.12,22.27,0.141,0.68,0.135,0.075,0.145,0.092,0.067,Peyami_Safa
TXT_0161,5.73,22.4,0.158,0.75,0.114,0.109,0.153,0.047,0.123,Peyami_Safa
TXT_0162,5.75,15.61,0.112,0.62,0.195,0.058,0.111,0.052,0.106,Halide_Edip
TXT_0163,5.97,24.38,0.153,0.7,0.243,0.094,0.167,0.079,0.061,Ahmet_Hamdi
TXT_0164,5.38,22.62,0.141,0.78,0.113,0.106,0.17,0.069,0.103,Peyami_Safa
TXT_0165,5.58,15.68,0.128,0.63,0.222,0.068,0.096,0.074,0.124,Halide_Edip
TXT_0166,5.8,20.35,0.118,0.66,0.14,0.101,0.114,0.061,0.135,Peyami_Safa
TXT_0167,6.12,24.29,0.171,0.75,0.15,0.085,0.108,0.086,0.088,Ahmet_Hamdi
TXT_0168,6.46,26.58,0.162,0.83,0.218,0.083,0.161,0.024,0.141,Ahmet_Hamdi
TXT_0169,5.69,20.33,0.128,0.72,0.175,0.106,0.137,0.053,0.087,Ahmet_Hamdi
TXT_0170,5.5,24.48,0.149,0.81,0.249,0.069,0.159,0.086,0.109,Ahmet_Hamdi
TXT_0171,5.55,20.67,0.102,0.63,0.194,0.11,0.106,0.088,0.106,Halide_Edip
TXT_0172,5.84,22.83,0.153,0.77,0.129,0.061,0.114,0.056,0.098,Ahmet_Hamdi
TXT_0173,6.12,18.43,0.125,0.7,0.143,0.06,0.085,0.022,0.116,Peyami_Safa
TXT_0174,5.7,18.27,0.161,0.71,0.151,0.066,0.088,0.046,0.135,Ahmet_Hamdi
TXT_0175,5.66,18.65,0.179,0.77,0.232,0.109,0.093,0.023,0.105,Ahmet_Hamdi
TXT_0176,5.23,22.47,0.122,0.7,0.133,0.109,0.115,0.091,0.054,Peyami_Safa
TXT_0177,6.24,20.29,0.128,0.85,0.22,0.081,0.129,0.077,0.051,Ahmet_Hamdi
TXT_0178,5.22,20.97,0.098,0.74,0.23,0.09,0.119,0.02,0.146,Halide_Edip
TXT_0179,5.54,19.13,0.142,0.8,0.185,0.095,0.173,0.072,0.113,Ahmet_Hamdi
TXT_0180,5.73,15.74,0.092,0.74,0.114,0.066,0.085,0.044,0.096,Halide_Edip
TXT_0181,5.97,19.4,0.12,0.82,0.237,0.094,0.139,0.086,0.051,Ahmet_Hamdi
TXT_0182,5.52,19.44,0.179,0.79,0.248,0.089,0.154,0.085,0.14,Ahmet_Hamdi
TXT_0183,5.54,26.51,0.157,0.72,0.124,0.117,0.114,0.044,0.138,Ahmet_Hamdi
TXT_0184,5.21,19.29,0.133,0.75,0.215,0.057,0.108,0.075,0.053,Halide_Edip
TXT_0185,5.81,23.94,0.125,0.7,0.142,0.113,0.097,0.035,0.087,Peyami_Safa
TXT_0186,5.44,14.18,0.124,0.69,0.191,0.118,0.168,0.064,0.123,Halide_Edip
TXT_0187,5.53,26.56,0.151,0.71,0.135,0.075,0.115,0.03,0.098,Ahmet_Hamdi
TXT_0188,5.74,17.81,0.149,0.68,0.228,0.086,0.176,0.079,0.11,Peyami_Safa
TXT_0189,5.51,14.31,0.12,0.74,0.138,0.12,0.171,0.052,0.058,Halide_Edip
TXT_0190,5.55,15.76,0.112,0.6,0.201,0.055,0.102,0.04,0.112,Halide_Edip
TXT_0191,5.94,27.22,0.16,0.72,0.188,0.052,0.152,0.095,0.133,Ahmet_Hamdi
TXT_0192,5.98,16.48,0.117,0.69,0.132,0.081,0.132,0.056,0.126,Peyami_Safa
TXT_0193,6.46,23.22,0.15,0.71,0.196,0.109,0.173,0.08,0.118,Ahmet_Hamdi
TXT_0194,5.19,15.57,0.114,0.6,0.18,0.089,0.131,0.078,0.1,Halide_Edip
TXT_0195,5.52,22.54,0.169,0.77,0.116,0.053,0.132,0.05,0.12,Ahmet_Hamdi
TXT_0196,5.02,21.52,0.105,0.75,0.189,0.116,0.175,0.099,0.149,Halide_Edip
TXT_0197,6.48,21.76,0.167,0.71,0.165,0.052,0.178,0.051,0.093,Ahmet_Hamdi
TXT_0198,6.23,25.19,0.172,0.8,0.161,0.083,0.175,0.083,0.1,Ahmet_Hamdi
TXT_0199,5.03,21.0,0.114,0.68,0.122,0.107,0.098,0.078,0.051,Halide_Edip
TXT_0200,5.61,20.72,0.106,0.62,0.13,0.099,0.127,0.098,0.1,Halide_Edip
TXT_0201,5.46,23.45,0.116,0.69,0.181,0.069,0.176,0.093,0.064,Peyami_Safa
TXT_0202,6.16,24.31,0.131,0.74,0.105,0.066,0.098,0.029,0.08,Peyami_Safa
TXT_0203,5.57,16.18,0.149,0.74,0.15,0.102,0.15,0.04,0.088,Peyami_Safa
TXT_0204,5.13,14.35,0.13,0.7,0.153,0.104,0.142,0.036,0.088,Halide_Edip
TXT_0205,5.56,21.77,0.125,0.64,0.247,0.107,0.153,0.02,0.111,Halide_Edip
TXT_0206,5.98,19.84,0.15,0.73,0.192,0.099,0.111,0.061,0.131,Peyami_Safa
TXT_0207,5.44,21.97,0.137,0.7,0.226,0.07,0.087,0.052,0.09,Peyami_Safa
TXT_0208,5.4,19.28,0.119,0.65,0.157,0.09,0.081,0.047,0.05,Halide_Edip
TXT_0209,6.36,21.14,0.14,0.75,0.196,0.064,0.173,0.021,0.077,Ahmet_Hamdi
TXT_0210,6.12,18.61,0.137,0.83,0.187,0.066,0.09,0.025,0.064,Ahmet_Hamdi
TXT_0211,5.19,19.63,0.133,0.68,0.238,0.062,0.147,0.065,0.107,Halide_Edip
TXT_0212,5.18,20.7,0.112,0.74,0.116,0.118,0.114,0.037,0.145,Halide_Edip
TXT_0213,5.06,19.77,0.118,0.74,0.213,0.065,0.103,0.062,0.149,Halide_Edip
TXT_0214,5.28,18.41,0.09,0.68,0.106,0.106,0.086,0.029,0.065,Halide_Edip
TXT_0215,5.38,18.07,0.093,0.63,0.135,0.085,0.18,0.096,0.148,Halide_Edip
TXT_0216,5.02,21.71,0.101,0.62,0.224,0.112,0.084,0.043,0.106,Halide_Edip
TXT_0217,5.01,16.95,0.119,0.6,0.157,0.115,0.123,0.05,0.071,Halide_Edip
TXT_0218,5.73,21.59,0.173,0.79,0.205,0.117,0.131,0.075,0.079,Ahmet_Hamdi
TXT_0219,5.59,17.71,0.113,0.78,0.109,0.083,0.085,0.065,0.089,Peyami_Safa
TXT_0220,5.39,21.31,0.108,0.66,0.1,0.056,0.162,0.057,0.142,Halide_Edip
TXT_0221,6.38,27.0,0.179,0.76,0.23,0.057,0.141,0.093,0.084,Ahmet_Hamdi
TXT_0222,5.74,20.83,0.124,0.73,0.203,0.1,0.156,0.048,0.067,Halide_Edip
TXT_0223,6.42,23.2,0.128,0.76,0.185,0.073,0.088,0.07,0.041,Ahmet_Hamdi
TXT_0224,5.61,22.78,0.138,0.77,0.11,0.101,0.097,0.072,0.145,Peyami_Safa
TXT_0225,5.68,22.85,0.125,0.79,0.111,0.093,0.148,0.031,0.055,Peyami_Safa
TXT_0226,5.59,14.7,0.112,0.65,0.247,0.099,0.081,0.067,0.137,Halide_Edip
TXT_0227,5.58,18.47,0.094,0.72,0.216,0.101,0.129,0.061,0.061,Halide_Edip
TXT_0228,5.21,15.46,0.1,0.62,0.175,0.097,0.118,0.094,0.135,Halide_Edip
TXT_0229,5.68,14.27,0.094,0.73,0.171,0.119,0.084,0.026,0.076,Halide_Edip
TXT_0230,5.56,17.13,0.105,0.64,0.16,0.116,0.117,0.021,0.115,Halide_Edip
TXT_0231,6.12,19.27,0.155,0.83,0.238,0.089,0.132,0.085,0.08,Ahmet_Hamdi
TXT_0232,5.21,18.28,0.119,0.72,0.12,0.077,0.175,0.032,0.103,Peyami_Safa
TXT_0233,5.45,22.48,0.127,0.79,0.1,0.071,0.12,0.035,0.099,Peyami_Safa
TXT_0234,5.94,19.23,0.122,0.74,0.13,0.081,0.157,0.076,0.128,Ahmet_Hamdi
TXT_0235,5.39,14.17,0.13,0.7,0.248,0.064,0.1,0.048,0.074,Halide_Edip
TXT_0236,6.48,19.01,0.172,0.79,0.215,0.054,0.133,0.055,0.115,Ahmet_Hamdi
TXT_0237,5.31,17.42,0.126,0.79,0.169,0.106,0.165,0.065,0.149,Peyami_Safa
TXT_0238,6.25,22.91,0.127,0.78,0.221,0.099,0.106,0.068,0.052,Ahmet_Hamdi
TXT_0239,6.37,22.41,0.125,0.73,0.221,0.059,0.137,0.079,0.052,Ahmet_Hamdi
TXT_0240,5.38,14.39,0.113,0.66,0.143,0.095,0.114,0.045,0.054,Halide_Edip
TXT_0241,6.2,18.35,0.113,0.74,0.211,0.086,0.142,0.052,0.14,Peyami_Safa
TXT_0242,5.64,20.33,0.149,0.82,0.216,0.111,0.122,0.039,0.041,Ahmet_Hamdi
TXT_0243,5.17,19.42,0.11,0.62,0.151,0.118,0.135,0.067,0.13,Halide_Edip
TXT_0244,5.86,16.59,0.132,0.76,0.213,0.087,0.104,0.041,0.056,Peyami_Safa
TXT_0245,6.07,24.2,0.135,0.8,0.146,0.096,0.131,0.035,0.104,Ahmet_Hamdi
TXT_0246,5.37,15.93,0.136,0.71,0.153,0.116,0.122,0.037,0.044,Halide_Edip
TXT_0247,5.69,18.01,0.113,0.63,0.154,0.055,0.151,0.027,0.125,Halide_Edip
TXT_0248,5.22,15.61,0.104,0.64,0.115,0.099,0.084,0.034,0.092,Halide_Edip
TXT_0249,5.01,14.65,0.124,0.63,0.243,0.092,0.083,0.081,0.121,Halide_Edip
TXT_0250,6.2,21.68,0.151,0.71,0.167,0.103,0.17,0.025,0.084,Peyami_Safa
TXT_0251,5.82,23.18,0.134,0.77,0.235,0.107,0.11,0.057,0.132,Peyami_Safa
TXT_0252,4.87,19.04,0.139,0.61,0.233,0.084,0.081,0.081,0.097,Halide_Edip
TXT_0253,5.21,18.24,0.11,0.65,0.196,0.114,0.146,0.048,0.148,Halide_Edip
TXT_0254,6.47,27.78,0.155,0.75,0.186,0.076,0.174,0.03,0.082,Ahmet_Hamdi
TXT_0255,5.49,18.76,0.119,0.7,0.176,0.092,0.109,0.02,0.135,Halide_Edip
TXT_0256,5.84,23.41,0.113,0.67,0.228,0.103,0.131,0.037,0.098,Peyami_Safa
TXT_0257,5.8,19.21,0.127,0.64,0.144,0.059,0.146,0.049,0.045,Halide_Edip
TXT_0258,6.06,24.03,0.158,0.65,0.104,0.075,0.092,0.088,0.146,Peyami_Safa
TXT_0259,5.66,16.17,0.094,0.74,0.232,0.061,0.141,0.092,0.095,Halide_Edip
TXT_0260,5.52,20.24,0.163,0.78,0.235,0.115,0.168,0.027,0.107,Ahmet_Hamdi
TXT_0261,5.22,17.22,0.115,0.72,0.216,0.056,0.124,0.072,0.068,Peyami_Safa
TXT_0262,5.8,17.65,0.159,0.79,0.198,0.1,0.158,0.092,0.066,Peyami_Safa
